IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 23:42:56 | Message: Line:7, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Class 'Project\Controllers\method' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 23:57:01 | Message: Line:4, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:syntax error, unexpected '<', expecting end of file
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 23:57:40 | Message: Line:4, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:syntax error, unexpected '<', expecting end of file
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 23:57:42 | Message: Line:4, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:syntax error, unexpected '<', expecting end of file
IP: 127.0.0.1 | Subject: ExceptionError | Date: 22.12.2020 00:14:13 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:syntax error, unexpected '<'
IP: 127.0.0.1 | Subject: ExceptionError | Date: 23.12.2020 16:31:53 | Message: Line:8, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Page.php, Error:Call to undefined method Page_model::page_list()
IP: 127.0.0.1 | Subject: ExceptionError | Date: 23.12.2020 16:32:27 | Message: Line:16, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Undefined variable: list
IP: 127.0.0.1 | Subject: ExceptionError | Date: 23.12.2020 16:33:39 | Message: Line:9, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Undefined variable: dzn
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:00:27 | Message: Line:1, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Class 'IMPORT' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:01:06 | Message: Line:1, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Class 'IMPORT' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:01:14 | Message: Line:5, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:syntax error, unexpected '<', expecting end of file
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:01:36 | Message: Line:5, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:syntax error, unexpected '<', expecting end of file
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:01:47 | Message: Line:32, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:syntax error, unexpected 'endforeach' (T_ENDFOREACH), expecting end of file
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:02:48 | Message: Line:31, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Views/user/index.php, Error:Undefined property: stdClass::$username
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:03:30 | Message: Line:1, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Class 'IMPORT' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:04:08 | Message: Line:28, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Undefined property: stdClass::$username
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:07:11 | Message: Line:28, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Undefined property: stdClass::$username
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:11:12 | Message: Line:28, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Undefined property: stdClass::$username
IP: 127.0.0.1 | Subject: ExceptionError | Date: 25.12.2020 18:11:15 | Message: Line:28, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Undefined property: stdClass::$username
